Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB_mode,UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
karate,LB+UB,3,False,34,78,2,0.01,GRE,3,0.00,0.02,N/A,N/A
chesapeake,LB+UB,3,False,39,170,1,0.01,GRE,1,0.01,0.02,N/A,N/A
dolphins,LB+UB,3,False,62,159,6,0.01,GRE,8,0.01,0.02,N/A,N/A
lesmis,LB+UB,3,False,77,254,6,0.02,GRE,7,0.01,0.05,N/A,N/A
polbooks,LB+UB,3,False,105,441,5,0.03,GRE,7,0.02,0.07,N/A,N/A
adjnoun,LB+UB,3,False,112,425,8,0.05,GRE,11,0.03,0.11,N/A,N/A
football,LB+UB,3,False,115,613,3,0.07,GRE,7,0.03,0.13,N/A,N/A
jazz,LB+UB,3,False,198,2742,6,0.14,GRE,6,0.24,0.56,N/A,N/A
celegansneural,LB+UB,3,False,297,2148,5,0.36,GRE,9,0.25,0.90,N/A,N/A
celegans_metabolic,LB+UB,3,False,453,2025,15,0.70,GRE,17,0.45,1.54,N/A,N/A
netscience,LB+UB,3,False,1589,2742,444,0.08,GRE,449,0.14,0.53,N/A,N/A
polblogs,LB+UB,3,False,1490,16715,311,13.99,GRE,326,107.80,127.88,N/A,N/A
email,LB+UB,3,False,1133,5451,93,29.80,GRE,120,2.62,33.92,N/A,N/A
data,LB+UB,3,False,2851,15093,127,12.79,GRE,183,10.26,24.60,N/A,N/A
karate,LB+UB,3,False,34,78,2,0.00,IP,2,0.00,0.01,N/A,N/A
chesapeake,LB+UB,3,False,39,170,1,0.01,IP,1,0.01,0.02,N/A,N/A
dolphins,LB+UB,3,False,62,159,6,0.01,IP,7,0.01,0.02,N/A,N/A
lesmis,LB+UB,3,False,77,254,6,0.02,IP,6,0.01,0.05,N/A,N/A
polbooks,LB+UB,3,False,105,441,5,0.02,IP,6,0.02,0.06,N/A,N/A
adjnoun,LB+UB,3,False,112,425,8,0.04,IP,8,0.02,0.09,N/A,N/A
football,LB+UB,3,False,115,613,3,0.07,IP,6,0.17,0.27,N/A,N/A
jazz,LB+UB,3,False,198,2742,6,0.12,IP,6,0.17,0.46,N/A,N/A
celegansneural,LB+UB,3,False,297,2148,5,0.34,IP,7,0.25,0.86,N/A,N/A
celegans_metabolic,LB+UB,3,False,453,2025,15,0.68,IP,15,0.23,1.28,N/A,N/A
netscience,LB+UB,3,False,1589,2742,444,0.06,IP,445,0.22,0.65,N/A,N/A
polblogs,LB+UB,3,False,1490,16715,311,14.76,IP,314,62.37,83.25,N/A,N/A
email,LB+UB,3,False,1133,5451,93,30.81,IP,97,0.36,32.66,N/A,N/A
data,LB+UB,3,False,2851,15093,127,12.60,IP,139,60.92,75.07,N/A,N/A
karate,LB+UB,5,False,34,78,1,0.00,GRE,1,0.01,0.01,N/A,N/A
chesapeake,LB+UB,5,False,39,170,1,0.01,GRE,1,0.01,0.02,N/A,N/A
dolphins,LB+UB,5,False,62,159,2,0.02,GRE,3,0.01,0.04,N/A,N/A
lesmis,LB+UB,5,False,77,254,1,0.02,GRE,1,0.03,0.07,N/A,N/A
polbooks,LB+UB,5,False,105,441,2,0.04,GRE,3,0.03,0.08,N/A,N/A
adjnoun,LB+UB,5,False,112,425,1,0.04,GRE,2,0.07,0.14,N/A,N/A
football,LB+UB,5,False,115,613,1,0.04,GRE,2,0.05,0.13,N/A,N/A
jazz,LB+UB,5,False,198,2742,2,0.13,GRE,3,0.42,0.72,N/A,N/A
celegansneural,LB+UB,5,False,297,2148,1,0.29,GRE,1,0.76,1.33,N/A,N/A
celegans_metabolic,LB+UB,5,False,453,2025,5,0.72,GRE,6,1.12,2.25,N/A,N/A
netscience,LB+UB,5,False,1589,2742,410,0.27,GRE,413,0.19,0.86,N/A,N/A
polblogs,LB+UB,5,False,1490,16715,272,6.39,GRE,273,42.90,55.94,N/A,N/A
email,LB+UB,5,False,1133,5451,16,8.41,GRE,25,2.89,14.05,N/A,N/A
data,LB+UB,5,False,2851,15093,67,28.03,GRE,89,7.71,37.84,N/A,N/A
karate,LB+UB,5,False,34,78,1,0.01,IP,1,0.01,0.01,N/A,N/A
chesapeake,LB+UB,5,False,39,170,1,0.01,IP,1,0.01,0.02,N/A,N/A
dolphins,LB+UB,5,False,62,159,2,0.01,IP,2,0.01,0.03,N/A,N/A
lesmis,LB+UB,5,False,77,254,1,0.02,IP,1,0.03,0.07,N/A,N/A
polbooks,LB+UB,5,False,105,441,2,0.03,IP,2,0.04,0.10,N/A,N/A
adjnoun,LB+UB,5,False,112,425,1,0.04,IP,2,0.08,0.15,N/A,N/A
football,LB+UB,5,False,115,613,1,0.06,IP,2,0.10,0.19,N/A,N/A
jazz,LB+UB,5,False,198,2742,2,0.13,IP,2,0.50,0.80,N/A,N/A
celegansneural,LB+UB,5,False,297,2148,1,0.29,IP,1,0.90,1.48,N/A,N/A
celegans_metabolic,LB+UB,5,False,453,2025,5,0.72,IP,5,0.86,2.00,N/A,N/A
netscience,LB+UB,5,False,1589,2742,410,0.27,IP,410,0.35,1.02,N/A,N/A
polblogs,LB+UB,5,False,1490,16715,272,6.38,IP,273,81.70,94.76,N/A,N/A
email,LB+UB,5,False,1133,5451,16,8.45,IP,20,3.78,14.98,N/A,N/A
data,LB+UB,5,False,2851,15093,67,27.28,IP,68,3.72,33.09,N/A,N/A
